Competition,,Matchday,Date,Venue,For,,Result,Pos.,Minute,At score,Type of goal,Goal assist
Season 08/09,,,,,,,,,,,,
,U17-BL N/NE,7,10/26/08,H,,H. Rostock U17 (7.),1:2,,59',1:1,,
,U17-BL N/NE,8,11/1/08,A,,Hertha BSC U17 (3.),3:2,,1',0:1,,
,U17-BL N/NE,11,11/30/08,A,,RW Erfurt U17 (9.),2:4,,50',2:2,,
,U17-BL N/NE,12,12/6/08,H,,W. Bremen U17 (2.),2:3,,2',1:0,,
,U17-BL N/NE,22,4/26/09,H,,Wolfsburg U17 (1.),1:2,,79',1:2,,
,U17-BL N/NE,23,5/17/09,A,,Osnabrück U17 (5.),1:3,,46',1:1,,
,,,,,,,,,59',1:2,,
,U17-BL N/NE,25,6/7/09,A,,W. Bremen U17 (2.),2:3,,54',2:2,,
,,,,,,,,,66',2:3,,
Season 09/10,,,,,,,,,,,,
,U19-BL N/NE,17,3/6/10,H,,E. Cottbus U19 (2.),3:0,,15',1:0,,
,U19-BL N/NE,21,4/17/10,H,,CZ Jena U19 (13.),3:0,,10',1:0,,
,,,,,,,,,25',2:0,,
,,,,,,,,,,,,
,RL Nord,30,4/25/10,H,,Hertha BSC II (11.),1:2,,69',1:2,Long distance kick,
,,,,,,,,,,,,
,U19-BL N/NE,20,5/2/10,A,,H. Rostock U19 (1.),4:1,,54',2:1,,
,U19-BL N/NE,24,5/30/10,H,,RW Erfurt U19 (14.),5:0,,76',4:0,,
,U19-BL N/NE,13,6/2/10,A,,Hertha BSC U19 (2.),1:3,,90',1:3,,
Season 10/11,,,,,,,,,,,,
,Bundesliga,10,10/30/10,A,,1.FC Köln (18.),3:2,RW,24',1:2,Left-footed shot,Gojko Kacar
,Bundesliga,13,11/20/10,A,,Hannover 96 (7.),3:2,LW,40',1:1,Right-footed shot,Jonathan Pitroipa
,,,,,,,,,54',1:2,Header,Jonathan Pitroipa
Season 11/12,,,,,,,,,,,,
,Bundesliga,2,8/13/11,H,,Hertha BSC (13.),2:2,SS,61',2:1,Long distance kick,
,Bundesliga,4,8/27/11,H,,1.FC Köln (18.),3:4,RW,62',3:2,Left-footed shot,Robert Tesche
,Bundesliga,9,10/16/11,A,,SC Freiburg (15.),1:2,CF,12',0:1,Tap-in,Jeffrey Bruma
,Bundesliga,31,4/14/12,H,,Hannover 96 (7.),1:0,CF,12',1:0,Solo run,
,Bundesliga,32,4/21/12,A,,1.FC Nuremberg (11.),1:1,CF,59',0:1,Right-footed shot,Marcus Berg
Season 12/13,,,,,,,,,,,,
,Bundesliga,3,9/16/12,A,,E. Frankfurt (2.),3:2,RW,63',3:2,Right-footed shot,Rafael van der Vaart
,Bundesliga,4,9/22/12,H,,Bor. Dortmund (5.),3:2,RW,2',1:0,Header,Rafael van der Vaart
,,,,,,,,,59',3:1,Left-footed shot,
,Bundesliga,7,10/6/12,A,,Greuther Fürth (17.),0:1,RW,17',0:1,Solo run,Tolgay Arslan
,Bundesliga,9,10/26/12,A,,FC Augsburg (16.),0:2,RW,13',0:1,Left-footed shot,Artjoms Rudnevs
,Bundesliga,12,11/17/12,H,,1.FSV Mainz 05 (7.),1:0,LW,63',1:0,Right-footed shot,Maximilian Beister
,Bundesliga,19,1/27/13,H,,Werder Bremen (12.),3:2,SS,22',1:1,Right-footed shot,Milan Badelj
,Bundesliga,21,2/9/13,A,,Bor. Dortmund (2.),1:4,CF,26',1:2,Left-footed shot,Jeffrey Bruma
,,,,,,,,,89',1:4,Right-footed shot,Marcell Jansen
,Bundesliga,29,4/13/13,A,,1.FSV Mainz 05 (8.),1:2,CF,61',0:1,Right-footed shot,Rafael van der Vaart
,,,,,,,,,81',0:2,Right-footed shot,Milan Badelj
,Bundesliga,33,5/11/13,A,,TSG Hoffenheim (17.),1:4,CF,18',0:1,Header,Dennis Diekmeier
Season 13/14,,,,,,,,,,,,
,DFB-Pokal,First Round,8/3/13,A,,SV Lippstadt 08,1:6,SS,63',1:4,Left-footed shot,Stefan Kießling
,Bundesliga,1,8/10/13,H,,SC Freiburg (14.),3:1,SS,47',2:1,Left-footed shot,Sidney Sam
,DFB-Pokal,Second Round,9/24/13,A,,Arm. Bielefeld,0:2,LW,62',0:1,Right-footed shot,Lars Bender
,Bundesliga,12,11/9/13,H,,Hamburger SV (14.),5:3,LW,9',1:0,Left-footed shot,Gonzalo Castro
,,,,,,,,,16',2:0,Left-footed shot,Sidney Sam
,,,,,,,,,55',3:2,Right-footed shot,Stefan Kießling
,Bundesliga,14,11/30/13,H,,1.FC Nuremberg (17.),3:0,SS,36',1:0,Right-footed shot,Gonzalo Castro
,,,,,,,,,76',3:0,Left-footed shot,Gonzalo Castro
,Bundesliga,15,12/7/13,A,,Bor. Dortmund (3.),0:1,SS,18',0:1,Left-footed shot,Gonzalo Castro
,Bundesliga,20,2/7/14,A,,Bor. M'gladbach (5.),0:1,SS,62',0:1,Right-footed shot,Sidney Sam
,Bundesliga,27,3/26/14,A,,FC Augsburg (8.),1:3,SS,80',1:2,Left-footed shot,Julian Brandt
,Bundesliga,34,5/10/14,H,,Werder Bremen (12.),2:1,LW,53',2:1,Header,Eren Derdiyok
Season 14/15,,,,,,,,,,,,
,DFB-Pokal,First Round,8/15/14,A,,Waldalgesheim,0:6,LW,82',0:6,Left-footed shot,Sebastian Boenisch
